slide_id,acinar,lepidic,micropapillary,papillary,solid,in situ,cribriform
WSI-2,0,0,0,0,0,1,0
WSI-3,0,0,0,0,0,1,0
WSI-4,0,0,0,0,0,1,0
WSI-5,0,0,0,0,0,1,0
WSI-7,0,0,0,0,0,1,0
WSI-8,0,0,0,0,0,1,0
WSI-9,0,0,0,0,0,1,0
WSI-10,0,0,0,0,0,1,0
WSI-11,0,0,0,0,0,1,0
WSI-12,0,0,0,0,0,1,0
WSI-13,0,0,0,0,0,1,0
WSI-14,0,0,0,0,0,1,0
WSI-15,0,0,0,0,0,1,0
WSI-16,0,0,0,0,0,0,1
WSI-19,0,0,0,0,0,1,0
WSI-20,0,0,0,0,0,1,0
WSI-22,0,0,0,0,0,1,0
WSI-23,0,0,0,0,0,1,0
WSI-24,0,0,0,0,0,1,0
WSI-26,0,0,0,0,0,1,0
WSI-27,0,0,0,0,0,1,0
WSI-30,0,0,0,0,0,1,0
WSI-31,1,0,0,0,0,0,0
WSI-33,0,0,0,0,0,1,0
WSI-34,0,0,0,0,0,1,0
WSI-36,0,0,0,1,0,0,0
WSI-37,0,0,0,0,0,1,0
WSI-38,0,0,0,0,0,1,0
WSI-40,0,0,0,0,0,1,0
WSI-42,0,0,0,0,0,1,0
WSI-47,0,0,0,0,0,1,0
WSI-48,0,0,0,0,1,0,0
WSI-51,0,0,0,0,0,1,0
WSI-52,0,0,0,0,0,1,0
WSI-53,0,0,0,0,0,1,0
WSI-55,0,0,0,0,0,1,0
WSI-56,0,0,0,0,0,1,0
WSI-57,0,0,0,0,0,1,0
WSI-58,0,0,0,0,0,1,0
WSI-59,0,0,0,0,0,0,1
WSI-61,0,0,0,0,0,1,0
WSI-62,0,0,0,0,0,1,0
WSI-63,0,0,0,1,0,0,0
WSI-64,0,0,0,0,0,1,0
WSI-65,0,0,0,0,0,1,0
WSI-66,0,0,1,0,0,0,0
WSI-70,0,0,0,0,0,1,0
WSI-72,0,0,0,0,0,1,0
WSI-74,0,0,0,0,0,1,0
WSI-75,0,0,0,0,0,1,0
WSI-78,0,0,0,1,0,0,0
WSI-79,0,0,0,1,0,0,0
WSI-80,0,0,1,0,0,0,0
WSI-81,0,0,1,0,0,0,0
WSI-82,0,0,1,0,0,0,0
WSI-83,0,0,1,0,0,0,0
WSI-84,0,0,1,0,0,0,0
WSI-86,0,0,0,0,1,0,0
WSI-87,0,0,0,0,1,0,0
WSI-90,0,0,1,0,0,0,0
WSI-91,0,0,0,1,0,0,0
WSI-93,0,0,0,1,0,0,0
WSI-95,0,0,0,0,1,0,0
WSI-97,0,0,0,1,0,0,0
WSI-101,0,0,0,0,1,0,0
WSI-102,0,0,0,0,1,0,0
WSI-104,0,0,0,1,0,0,0
WSI-106,0,0,0,0,0,0,1
WSI-107,0,0,0,0,1,0,0
WSI-108,0,0,0,0,1,0,0
WSI-109,0,0,0,1,0,0,0
WSI-111,0,0,0,1,0,0,0
WSI-112,0,0,0,1,0,0,0
WSI-113,0,0,0,1,0,0,0
WSI-114,0,0,1,0,0,0,0
WSI-115,0,0,1,0,0,0,0
WSI-116,0,0,0,0,0,0,1
WSI-117,0,0,0,0,0,0,1
WSI-119,0,0,0,1,0,0,0
WSI-121,0,0,0,1,0,0,0
WSI-122,0,0,0,0,1,0,0
WSI-123,0,0,0,0,1,0,0
WSI-124,0,0,0,0,1,0,0
WSI-126,0,0,0,0,1,0,0
WSI-129,0,0,0,1,0,0,0
WSI-130,0,0,0,0,1,0,0
WSI-131,0,0,0,0,1,0,0
WSI-132,0,0,0,0,1,0,0
WSI-133,0,0,0,0,1,0,0
WSI-134,0,0,0,0,1,0,0
WSI-135,0,0,0,0,1,0,0
WSI-136,0,0,0,0,1,0,0
WSI-137,0,0,0,0,1,0,0
WSI-138,0,0,0,1,0,0,0
WSI-139,0,0,0,1,0,0,0
WSI-140,0,0,0,1,0,0,0
WSI-141,0,0,0,1,0,0,0
WSI-142,0,0,0,1,0,0,0
WSI-144,0,0,0,0,1,0,0
WSI-145,0,0,0,0,1,0,0
WSI-146,0,0,0,0,1,0,0
WSI-147,0,0,1,0,0,0,0
WSI-148,0,0,1,0,0,0,0
WSI-151,0,0,1,0,0,0,0
WSI-152,0,0,0,1,0,0,0
WSI-155,0,0,1,0,0,0,0
WSI-156,0,0,1,0,0,0,0
WSI-157,0,0,0,0,1,0,0
WSI-159,0,0,0,0,1,0,0
WSI-160,0,0,0,0,1,0,0
WSI-161,0,0,0,0,1,0,0
WSI-162,0,0,0,0,1,0,0
WSI-163,0,0,0,0,1,0,0
WSI-164,0,0,0,0,1,0,0
WSI-166,0,0,1,0,0,0,0
WSI-169,0,0,1,0,0,0,0
WSI-170,0,0,1,0,0,0,0
WSI-172,0,0,0,1,0,0,0
WSI-174,0,0,0,1,0,0,0
WSI-175,0,0,0,1,0,0,0
WSI-176,0,0,0,1,0,0,0
WSI-178,0,0,0,0,1,0,0
WSI-180,0,0,0,1,0,0,0
WSI-182,0,0,0,1,0,0,0
WSI-183,0,0,0,1,0,0,0
WSI-185,0,0,0,1,0,0,0
WSI-186,0,0,0,0,1,0,0
WSI-188,0,0,1,0,0,0,0
WSI-189,0,0,1,0,0,0,0
WSI-190,0,0,1,0,0,0,0
WSI-191,0,0,1,0,0,0,0
WSI-192,0,0,0,1,0,0,0
WSI-193,0,0,0,0,1,0,0
WSI-194,0,0,1,0,0,0,0
