slide_id,acinar,lepidic,micropapillary,papillary,solid,in situ,cribriform
WSI-1,0,0,0,0,0,1,0
WSI-3,0,0,0,0,0,1,0
WSI-5,0,0,0,0,0,1,0
WSI-6,0,0,0,0,0,1,0
WSI-8,0,0,0,0,0,1,0
WSI-9,0,0,0,0,0,1,0
WSI-11,0,0,0,0,0,1,0
WSI-13,0,0,0,0,0,1,0
WSI-15,0,0,0,0,0,1,0
WSI-18,0,0,0,0,0,0,1
WSI-19,0,0,0,0,0,1,0
WSI-20,0,0,0,0,0,1,0
WSI-22,0,0,0,0,0,1,0
WSI-23,0,0,0,0,0,1,0
WSI-24,0,0,0,0,0,1,0
WSI-25,0,0,0,0,0,1,0
WSI-26,0,0,0,0,0,1,0
WSI-27,0,0,0,0,0,1,0
WSI-29,0,0,0,0,0,1,0
WSI-32,1,0,0,0,0,0,0
WSI-33,0,0,0,0,0,1,0
WSI-34,0,0,0,0,0,1,0
WSI-37,0,0,0,0,0,1,0
WSI-38,0,0,0,0,0,1,0
WSI-39,0,0,0,0,0,1,0
WSI-40,0,0,0,0,0,1,0
WSI-42,0,0,0,0,0,1,0
WSI-45,0,0,0,0,0,1,0
WSI-47,0,0,0,0,0,1,0
WSI-48,0,0,0,0,1,0,0
WSI-49,0,0,0,0,1,0,0
WSI-50,0,0,0,0,1,0,0
WSI-52,0,0,0,0,0,1,0
WSI-54,0,0,0,0,0,1,0
WSI-55,0,0,0,0,0,1,0
WSI-57,0,0,0,0,0,1,0
WSI-60,0,0,0,0,0,0,1
WSI-61,0,0,0,0,0,1,0
WSI-62,0,0,0,0,0,1,0
WSI-63,0,0,0,1,0,0,0
WSI-64,0,0,0,0,0,1,0
WSI-65,0,0,0,0,0,1,0
WSI-66,0,0,1,0,0,0,0
WSI-67,0,0,0,0,0,1,0
WSI-68,0,0,0,0,0,1,0
WSI-70,0,0,0,0,0,1,0
WSI-71,0,0,0,0,0,1,0
WSI-72,0,0,0,0,0,1,0
WSI-73,0,0,0,0,0,1,0
WSI-74,0,0,0,0,0,1,0
WSI-75,0,0,0,0,0,1,0
WSI-78,0,0,0,1,0,0,0
WSI-79,0,0,0,1,0,0,0
WSI-81,0,0,1,0,0,0,0
WSI-83,0,0,1,0,0,0,0
WSI-84,0,0,1,0,0,0,0
WSI-85,0,0,1,0,0,0,0
WSI-86,0,0,0,0,1,0,0
WSI-87,0,0,0,0,1,0,0
WSI-88,0,0,0,0,1,0,0
WSI-89,0,0,1,0,0,0,0
WSI-93,0,0,0,1,0,0,0
WSI-94,0,0,0,1,0,0,0
WSI-95,0,0,0,0,1,0,0
WSI-96,0,0,0,0,1,0,0
WSI-98,0,0,0,1,0,0,0
WSI-100,0,0,0,0,1,0,0
WSI-101,0,0,0,0,1,0,0
WSI-104,0,0,0,1,0,0,0
WSI-105,0,0,0,0,0,0,1
WSI-108,0,0,0,0,1,0,0
WSI-109,0,0,0,1,0,0,0
WSI-110,0,0,0,1,0,0,0
WSI-111,0,0,0,1,0,0,0
WSI-112,0,0,0,1,0,0,0
WSI-113,0,0,0,1,0,0,0
WSI-114,0,0,1,0,0,0,0
WSI-115,0,0,1,0,0,0,0
WSI-117,0,0,0,0,0,0,1
WSI-118,0,0,0,1,0,0,0
WSI-119,0,0,0,1,0,0,0
WSI-120,0,0,0,1,0,0,0
WSI-121,0,0,0,1,0,0,0
WSI-123,0,0,0,0,1,0,0
WSI-124,0,0,0,0,1,0,0
WSI-126,0,0,0,0,1,0,0
WSI-127,0,0,0,1,0,0,0
WSI-130,0,0,0,0,1,0,0
WSI-131,0,0,0,0,1,0,0
WSI-132,0,0,0,0,1,0,0
WSI-134,0,0,0,0,1,0,0
WSI-135,0,0,0,0,1,0,0
WSI-136,0,0,0,0,1,0,0
WSI-137,0,0,0,0,1,0,0
WSI-138,0,0,0,1,0,0,0
